case_id,ESR-mediated signaling (Reactome R-HSA-8939211),Nuclear Receptor transcription pathway (Reactome R-HSA-383280),Signaling by ERBB2 (Reactome R-HSA-1227986),Signaling by EGFR (Reactome R-HSA-177929),PIP3 activates AKT signaling (Reactome R-HSA-1257604),G2/M Transition (Reactome R-HSA-69275),Mitotic Spindle Checkpoint (Reactome R-HSA-69618),p53-Dependent G1 DNA Damage Response (Reactome R-HSA-69563),DNA Double-Strand Break Repair (Reactome R-HSA-5693532),Adherens junctions interactions (Reactome R-HSA-418990),Tight junction interactions (Reactome R-HSA-420029),Signaling by TGF-beta Receptor Complex (Reactome R-HSA-170834),Degradation of the extracellular matrix (Reactome R-HSA-1474228),Integrin cell surface interactions (Reactome R-HSA-216083),Collagen formation (Reactome R-HSA-1474290),TCR signaling (Reactome R-HSA-202403),Signaling by the B Cell Receptor (BCR) (Reactome R-HSA-983705),Interferon gamma signaling (Reactome R-HSA-877300),Co-inhibition by PD-1 (Reactome R-HSA-389948),Cellular response to hypoxia (Reactome R-HSA-1234174),RIPK1-mediated regulated necrosis (Reactome R-HSA-5213460),Signaling by BMP (Reactome R-HSA-201451)
TCGA-A1-A0SG,91.5273568516782,71.43666350215472,51.752465231509234,22.277559475747097,35.38094772552526,-44.14632136176354,-67.92765019989444,9.292829633621238,1.2153041988810287,98.05908440309597,26.755998546993055,10.388741796375399,6.153578163895645,25.577681857575016,94.60078118509861,-76.99829961204644,-50.294995964155376,0.3472317381118444,-71.08513787505483,39.12613661172318,-35.77834274334623,-27.09243468830323
TCGA-A1-A0SH,76.20236378060105,51.90401052950358,42.57286258203919,25.339127730720236,30.49075449952602,-56.13512485304733,-77.88151615442845,-11.714018190283127,-3.199832874132653,90.03719330702282,10.014300356728484,32.89824387994878,11.576869129485544,43.96321041902658,113.87198549729482,-83.9015814303326,-77.24609544467091,6.61549917999119,-77.79289341233373,34.999602524117904,-35.84113814913471,0.08271151448823844
TCGA-A1-A0SI,74.87594453142486,34.55385252486391,41.56205580483632,17.2783901134039,28.676031288130332,1.566825094235952,-46.38235999693475,-11.035482582805145,-0.6409584526080607,88.2820905064184,14.677749940119782,12.865845359727984,29.364634330468675,35.35743691111199,111.98510392692856,-69.9580812332438,-92.93815800743621,53.00898463929266,-73.45327404745737,17.244490152263694,-36.403260085474344,-27.246057896621224
TCGA-A1-A0SJ,82.75332809969444,48.51656105299679,47.07666137209725,29.57238317541362,25.96522696449705,-2.522282178207888,-47.38642192807461,-1.1202392380045865,-1.0407991441122135,96.79232666136878,31.900219809916194,16.582763226362175,-5.344499328588739,38.261456915254,103.391943001849,-82.36583250467424,-90.88464093685788,1.5176721217700901,-76.33286430155074,38.948219744025124,-30.80153381541284,-30.511082585255096
TCGA-A1-A0SK,52.92309305162999,21.08541134992302,17.56751829810011,32.48052265261731,18.036636161799038,62.6349136486854,26.801003594295736,36.916660058098444,31.329158861244792,86.79423567641501,15.861358784098144,15.2876842548159,-31.151216838704272,4.7766425182615535,84.45589393340671,-73.46141029685064,-74.45415064375314,-20.100630858563477,-64.93624567313796,53.02275150633298,-40.4759063530399,0.14875429251134165
TCGA-A1-A0SM,78.75863219716857,37.45775307565469,58.04661770302127,22.39494543710134,24.267753444304134,-23.94305390713589,-47.64352846115092,-0.8066831124720579,-15.498038530397238,87.07727476357874,17.01199858918585,18.474952242091433,5.153244427153396,46.5905987721693,107.74186019429015,-86.96893440199577,-74.13762190192551,-0.721288792556237,-80.43869792953734,38.23530714513183,-32.14994216489855,-4.31616217879656
TCGA-A1-A0SN,82.11644682778265,57.001770848758525,47.49198055147076,14.388229050732804,27.433870865926394,10.43143135466562,-39.82991854354309,-1.0096448689703266,-2.9309469741747023,92.87588993329123,16.769656433926542,22.129754643820036,-0.6162378730188607,26.936843529445696,99.17122492587461,-66.42247071279459,-81.36450757623064,22.97630563485555,-63.90191395234632,14.133091494015474,-33.46558513575502,-23.455314592349936
TCGA-A1-A0SO,64.9479506052079,27.115535223478133,46.026659519871544,36.25631100397777,25.508176946697688,45.59147975547498,38.54558693828426,2.2132602882365973,35.26128059828855,87.56536274511004,25.418870003500132,10.662383730163384,-41.23426581501586,16.78682580128276,83.35018813490143,-74.12406022715238,-80.7106758697767,9.372423505511847,-69.65667798022423,40.48307613469095,-39.9954047729568,-21.373804544701443
TCGA-A1-A0SP,39.007898941715524,9.848989993828582,28.10299013255468,34.54248243091695,23.060925132378912,34.41182878068568,10.099120659226486,-5.326603988042507,2.829389975652589,96.02234608353211,21.949283058622626,1.9032335316843216,22.59552014690823,30.078758759457713,98.65097401332565,-75.41157359992542,-74.14244771714087,29.7608846764997,-74.04794250118506,19.59015559581252,-26.69200977462073,-21.317412409705824
TCGA-A1-A0SQ,92.7738042234235,65.0519728134866,56.22950034802895,30.26497661112046,35.74281867544835,-11.35440880333843,-47.1816667917149,-1.0216533899569527,6.6464533825012495,96.23329992746869,20.502130881387785,13.12415907065693,-34.11165395263855,30.972565666972713,83.1705386176674,-85.15667847295379,-82.33474448737728,-2.7699571123781936,-68.54382066496554,43.40184066562759,-18.339193898774184,-13.721705816649134
