task_name,task_type,num_train,num_val,num_test,metric_name,metric_value,missing_rate
NRAS,gene_expression_regression,1894,405,406,Pearson,0.16360732054086116,
HRAS,gene_expression_regression,1894,405,406,Pearson,0.1404805733349539,
RAF1,gene_expression_regression,1894,405,406,Pearson,0.07027019783667676,
MAP2K1,gene_expression_regression,1894,405,406,Pearson,0.23423053594924415,
MAP2K2,gene_expression_regression,1894,405,406,Pearson,0.12965419397555633,
PIK3CB,gene_expression_regression,1894,405,406,Pearson,0.166503401020457,
PIK3CD,gene_expression_regression,1894,405,406,Pearson,0.5975169227563982,
PIK3CG,gene_expression_regression,1894,405,406,Pearson,0.4579539960656917,
PIK3R2,gene_expression_regression,1894,405,406,Pearson,0.09652214867296657,
PIK3R3,gene_expression_regression,1894,405,406,Pearson,0.07692392192784729,
AKT1,gene_expression_regression,1894,405,406,Pearson,0.20906566715276595,
AKT2,gene_expression_regression,1894,405,406,Pearson,0.11659217639779801,
AKT3,gene_expression_regression,1894,405,406,Pearson,0.41426098196458594,
PDPK1,gene_expression_regression,1894,405,406,Pearson,0.2751104695381925,
MTOR,gene_expression_regression,1894,405,406,Pearson,0.12722913581425793,
RICTOR,gene_expression_regression,1894,405,406,Pearson,0.07487268717694551,
PTEN,gene_expression_regression,1894,405,406,Pearson,0.2827365257010389,
SGK1,gene_expression_regression,1894,405,406,Pearson,0.40205706975344313,
FOXO1,gene_expression_regression,1894,405,406,Pearson,0.5917916723594264,
FOXO3,gene_expression_regression,1894,405,406,Pearson,0.13517363668102697,
CCNB1,gene_expression_regression,1894,405,406,Pearson,0.47599402004721386,
CCNB2,gene_expression_regression,1894,405,406,Pearson,0.5518488921776002,
CDK1,gene_expression_regression,1894,405,406,Pearson,0.4616261397181305,
CDC25A,gene_expression_regression,1894,405,406,Pearson,0.6114744174085854,
CDC25B,gene_expression_regression,1894,405,406,Pearson,0.5435185446497948,
CDC25C,gene_expression_regression,1894,405,406,Pearson,0.41405035416215863,
PLK1,gene_expression_regression,1894,405,406,Pearson,0.5571827832790357,
AURKA,gene_expression_regression,1894,405,406,Pearson,0.5521204964959989,
AURKB,gene_expression_regression,1894,405,406,Pearson,0.5955679122152053,
TPX2,gene_expression_regression,1894,405,406,Pearson,0.5334080110260236,
WEE1,gene_expression_regression,1894,405,406,Pearson,0.10198842319495326,
CDC20,gene_expression_regression,1894,405,406,Pearson,0.5827221034409309,
TOP2A,gene_expression_regression,1894,405,406,Pearson,0.4226338125914338,
CENPF,gene_expression_regression,1894,405,406,Pearson,0.4685622871632556,
BUB1,gene_expression_regression,1894,405,406,Pearson,0.5053996322181852,
BUB1B,gene_expression_regression,1894,405,406,Pearson,0.47957736010759094,
MAD1L1,gene_expression_regression,1894,405,406,Pearson,0.09819471810533965,
MAD2L1,gene_expression_regression,1894,405,406,Pearson,0.5156078018813528,
TTK,gene_expression_regression,1894,405,406,Pearson,0.5565592854608817,
CENPE,gene_expression_regression,1894,405,406,Pearson,0.4781984758771425,
NDC80,gene_expression_regression,1894,405,406,Pearson,0.5415213904556334,
CASC5,gene_expression_regression,1894,405,406,Pearson,0.3028440999084987,
TP53,gene_expression_regression,1894,405,406,Pearson,0.09573084187018109,
ATM,gene_expression_regression,1894,405,406,Pearson,0.2009111057965088,
CHEK2,gene_expression_regression,1894,405,406,Pearson,0.530919977311429,
MDM2,gene_expression_regression,1894,405,406,Pearson,0.23745163090788238,
CDKN1A,gene_expression_regression,1894,405,406,Pearson,0.20442275292379272,
CDKN1B,gene_expression_regression,1894,405,406,Pearson,0.16494614793595327,
CCNE1,gene_expression_regression,1894,405,406,Pearson,0.6096257052375061,
CDK2,gene_expression_regression,1894,405,406,Pearson,0.3888545701379074,
GADD45A,gene_expression_regression,1894,405,406,Pearson,0.06099788243032362,
BBC3,gene_expression_regression,1894,405,406,Pearson,0.24851851632334526,
BAX,gene_expression_regression,1894,405,406,Pearson,0.16682018466665927,
BRCA1,gene_expression_regression,1894,405,406,Pearson,0.24969875916376325,
BRCA2,gene_expression_regression,1894,405,406,Pearson,0.24594994735323536,
ATR,gene_expression_regression,1894,405,406,Pearson,0.15164982132535937,
CHEK1,gene_expression_regression,1894,405,406,Pearson,0.5760205128264145,
RAD50,gene_expression_regression,1894,405,406,Pearson,0.3595981960830762,
MRE11A,gene_expression_regression,1894,405,406,Pearson,0.16975325258537283,
NBN,gene_expression_regression,1894,405,406,Pearson,0.15298876246800697,
RAD51,gene_expression_regression,1894,405,406,Pearson,0.5366627036731186,
PALB2,gene_expression_regression,1894,405,406,Pearson,0.194210202514812,
BARD1,gene_expression_regression,1894,405,406,Pearson,0.1992664512024523,
XRCC5,gene_expression_regression,1894,405,406,Pearson,0.11808142395210039,
XRCC6,gene_expression_regression,1894,405,406,Pearson,0.3610758931227935,
PRKDC,gene_expression_regression,1894,405,406,Pearson,0.30093156682628314,
CDH1,gene_expression_regression,1894,405,406,Pearson,0.47226465674955115,
CTNNA1,gene_expression_regression,1894,405,406,Pearson,0.2892416342928515,
CTNNB1,gene_expression_regression,1894,405,406,Pearson,0.23524221830856373,
CTNND1,gene_expression_regression,1894,405,406,Pearson,0.24192380065601063,
JUP,gene_expression_regression,1894,405,406,Pearson,0.12245938010784425,
PVRL1,gene_expression_regression,1894,405,406,Pearson,0.3156210485665852,
PVRL2,gene_expression_regression,1894,405,406,Pearson,0.4036844516883702,
PVRL3,gene_expression_regression,1894,405,406,Pearson,0.3973346605460867,
MLLT4,gene_expression_regression,1894,405,406,Pearson,0.087583666581001,
ACTB,gene_expression_regression,1894,405,406,Pearson,0.43799228163438625,
ACTN1,gene_expression_regression,1894,405,406,Pearson,0.3836121780288171,
TJP1,gene_expression_regression,1894,405,406,Pearson,0.3139436429999391,
TJP2,gene_expression_regression,1894,405,406,Pearson,0.043542930918209335,
OCLN,gene_expression_regression,1894,405,406,Pearson,0.32949668015144934,
CLDN1,gene_expression_regression,1894,405,406,Pearson,0.3160818471978563,
CLDN3,gene_expression_regression,1894,405,406,Pearson,0.03753040708217626,
CLDN4,gene_expression_regression,1894,405,406,Pearson,0.09474779102740737,
CLDN7,gene_expression_regression,1894,405,406,Pearson,0.12392153122971387,
PARD3,gene_expression_regression,1894,405,406,Pearson,0.24795911852580596,
PARD6A,gene_expression_regression,1894,405,406,Pearson,0.1737501952470132,
PRKCI,gene_expression_regression,1894,405,406,Pearson,0.13688958451423658,
CRB3,gene_expression_regression,1894,405,406,Pearson,0.22035001386557962,
EPCAM,gene_expression_regression,1894,405,406,Pearson,0.4061360922747848,
TGFB1,gene_expression_regression,1894,405,406,Pearson,0.4956781395092129,
TGFB2,gene_expression_regression,1894,405,406,Pearson,0.365918409177944,
TGFB3,gene_expression_regression,1894,405,406,Pearson,0.6180804724183874,
TGFBR1,gene_expression_regression,1894,405,406,Pearson,0.28662540296569095,
TGFBR2,gene_expression_regression,1894,405,406,Pearson,0.5795018792400692,
SMAD2,gene_expression_regression,1894,405,406,Pearson,0.01652339606434656,
SMAD3,gene_expression_regression,1894,405,406,Pearson,0.3148951137035441,
SMAD4,gene_expression_regression,1894,405,406,Pearson,0.16521094891252994,
SMURF1,gene_expression_regression,1894,405,406,Pearson,0.15106654408997228,
SMURF2,gene_expression_regression,1894,405,406,Pearson,0.24810880159837795,
RHOA,gene_expression_regression,1894,405,406,Pearson,0.3305052189165237,
SKIL,gene_expression_regression,1894,405,406,Pearson,0.19061838677579063,
SNAI1,gene_expression_regression,1894,405,406,Pearson,0.3996546351401656,
MMP1,gene_expression_regression,1894,405,406,Pearson,0.4659969222012245,
MMP2,gene_expression_regression,1894,405,406,Pearson,0.6530451841611619,
MMP3,gene_expression_regression,1894,405,406,Pearson,0.46386201847042474,
MMP7,gene_expression_regression,1894,405,406,Pearson,0.5056063830425724,
MMP8,gene_expression_regression,1894,405,406,Pearson,0.24498455601036798,
MMP9,gene_expression_regression,1894,405,406,Pearson,0.30954692012523816,
MMP10,gene_expression_regression,1894,405,406,Pearson,0.26163687248928164,
MMP11,gene_expression_regression,1894,405,406,Pearson,0.49344597277588603,
MMP12,gene_expression_regression,1894,405,406,Pearson,0.4535517795230898,
MMP13,gene_expression_regression,1894,405,406,Pearson,0.42230940732211375,
MMP14,gene_expression_regression,1894,405,406,Pearson,0.43432722550785263,
MMP15,gene_expression_regression,1894,405,406,Pearson,0.264309336130542,
MMP19,gene_expression_regression,1894,405,406,Pearson,0.4863663594778526,
ADAMTS4,gene_expression_regression,1894,405,406,Pearson,0.21449611508137134,
ADAMTS5,gene_expression_regression,1894,405,406,Pearson,0.4674850924510835,
CTSK,gene_expression_regression,1894,405,406,Pearson,0.6212640705368915,
CTSS,gene_expression_regression,1894,405,406,Pearson,0.49124955803431153,
ITGA1,gene_expression_regression,1894,405,406,Pearson,0.3160649551688027,
ITGA2,gene_expression_regression,1894,405,406,Pearson,0.25545148659094963,
ITGA3,gene_expression_regression,1894,405,406,Pearson,0.33794973659561556,
ITGA4,gene_expression_regression,1894,405,406,Pearson,0.3687032927103929,
ITGA5,gene_expression_regression,1894,405,406,Pearson,0.4667329551457338,
ITGA6,gene_expression_regression,1894,405,406,Pearson,0.24549119846457185,
ITGA8,gene_expression_regression,1894,405,406,Pearson,0.36814415152079644,
ITGA9,gene_expression_regression,1894,405,406,Pearson,0.33784685422543115,
ITGA10,gene_expression_regression,1894,405,406,Pearson,0.2904735141919361,
ITGA11,gene_expression_regression,1894,405,406,Pearson,0.5265382835368042,
ITGAV,gene_expression_regression,1894,405,406,Pearson,0.3309279074358873,
ITGB1,gene_expression_regression,1894,405,406,Pearson,0.34744519255993994,
ITGB3,gene_expression_regression,1894,405,406,Pearson,0.34016964679477657,
ITGB4,gene_expression_regression,1894,405,406,Pearson,0.3011384640149468,
ITGB5,gene_expression_regression,1894,405,406,Pearson,0.5475123231170664,
ITGB6,gene_expression_regression,1894,405,406,Pearson,0.3215062450939582,
ITGB8,gene_expression_regression,1894,405,406,Pearson,0.3627615888637845,
FN1,gene_expression_regression,1894,405,406,Pearson,0.42021231680400284,
VTN,gene_expression_regression,1894,405,406,Pearson,0.13230331657220754,
LAMA3,gene_expression_regression,1894,405,406,Pearson,0.331632495932894,
